Date,Open,High,Low,Close,Adj Close,Volume
2013-11-25,648.049988,661.750000,648.049988,659.750000,635.737854,4037635
2013-11-26,657.700012,659.900024,648.400024,652.950012,629.185303,3619629
2013-11-27,651.099976,658.750000,644.099976,653.549988,629.763550,2148253
2013-11-28,655.599976,663.000000,648.049988,653.400024,629.619019,3693433
2013-11-29,655.000000,668.900024,655.000000,661.299988,637.231384,2392770
2013-12-02,662.000000,665.000000,658.049988,661.299988,637.231384,1714653
2013-12-03,660.000000,662.200012,652.650024,655.750000,631.883484,2572070
2013-12-04,654.900024,659.549988,653.450012,657.599976,633.666077,2619152
2013-12-05,671.549988,689.900024,671.549988,688.099976,663.056030,8004998
2013-12-06,684.900024,689.599976,678.250000,682.700012,657.852539,4017308
2013-12-09,710.000000,717.400024,692.549988,696.650024,671.294922,6316407
2013-12-10,692.349976,701.849976,690.000000,696.700012,671.343018,6266220
2013-12-11,690.099976,701.799988,686.900024,695.549988,670.234863,3072444
2013-12-12,693.200012,700.549988,690.500000,695.200012,669.897583,3216924
2013-12-13,687.799988,702.000000,685.000000,689.950012,664.838745,6329020
2013-12-16,688.000000,690.900024,681.200012,684.349976,659.442444,5358061
2013-12-17,675.650024,675.650024,654.049988,657.599976,633.666077,4485661
2013-12-18,650.500000,680.650024,649.549988,666.250000,642.001282,3521829
2013-12-19,679.000000,683.950012,650.400024,652.549988,628.799805,2504879
2013-12-20,657.799988,668.599976,650.099976,664.599976,640.411255,1430617
2013-12-23,658.000000,671.500000,657.000000,664.450012,640.266785,1382808
2013-12-24,665.549988,666.500000,655.049988,657.299988,633.377014,888674
2013-12-26,659.849976,672.200012,656.900024,669.049988,644.699402,2011690
2013-12-27,664.099976,675.450012,664.099976,669.650024,645.277527,1366003
2013-12-30,676.799988,677.000000,665.150024,669.500000,645.132996,1056901
2013-12-31,672.099976,672.299988,660.099976,665.849976,641.615784,1315328
2014-01-01,668.000000,669.799988,663.000000,665.150024,640.941284,1123109
2014-01-02,665.000000,674.750000,653.549988,657.000000,633.088013,1807248
2014-01-03,652.000000,666.000000,650.000000,663.099976,638.965881,1628296
2014-01-06,663.000000,663.000000,657.000000,661.700012,637.616943,1490855
2014-01-07,667.099976,670.950012,653.299988,664.400024,640.218628,1974230
2014-01-08,665.200012,666.950012,660.000000,664.700012,640.507751,1162370
2014-01-09,663.200012,666.049988,657.099976,662.950012,638.821350,944368
2014-01-10,662.950012,674.700012,656.299988,662.049988,637.954102,1537627
2014-01-13,660.099976,676.950012,656.900024,672.849976,648.361023,1188145
2014-01-14,669.049988,676.000000,668.299988,672.299988,647.831116,894280
2014-01-15,673.000000,682.700012,669.599976,680.549988,655.780762,1156960
2014-01-16,684.400024,685.000000,670.349976,673.049988,648.553772,1125294
2014-01-17,675.000000,675.000000,659.049988,665.000000,640.796692,10843714
2014-01-20,668.099976,676.700012,666.400024,670.049988,645.663025,1400092
2014-01-21,672.950012,678.799988,670.000000,676.099976,651.492676,1562981
2014-01-22,675.500000,684.700012,674.650024,677.099976,652.456421,1758334
2014-01-23,675.000000,681.099976,672.750000,679.500000,654.769043,1370685
2014-01-24,670.000000,674.950012,663.700012,673.400024,648.891052,2210725
2014-01-27,664.900024,664.900024,645.599976,649.200012,625.571838,4265112
2014-01-28,648.000000,656.000000,638.599976,644.450012,620.994751,4598856
2014-01-29,647.500000,650.900024,640.549988,645.450012,621.958313,2742731
2014-01-30,637.500000,639.900024,627.650024,631.799988,608.805054,2856365
2014-01-31,630.000000,636.299988,625.099976,628.500000,605.625183,2405246
2014-02-03,629.950012,634.000000,625.099976,626.500000,603.697998,1194205
2014-02-04,621.650024,635.500000,616.799988,630.599976,607.648743,1852326
2014-02-05,631.000000,639.799988,625.099976,637.450012,614.249451,1726346
2014-02-06,638.750000,649.599976,629.500000,647.000000,623.451904,3366736
2014-02-07,652.400024,654.500000,642.099976,647.750000,624.174561,1007367
2014-02-10,647.650024,650.150024,636.000000,643.900024,620.464783,1570205
2014-02-11,646.000000,647.150024,639.299988,644.799988,621.331909,1116214
2014-02-12,646.599976,652.799988,643.650024,645.450012,621.958313,1609240
2014-02-13,646.000000,648.000000,631.250000,632.500000,609.479614,788800
